"Título del evento","Nombre canónico","Comité que se le asignaría","Charlas"
"Charla Alajuela","Charla Alajuela Jueves","Sede Alajuela","11"
"Charla Antares","Charla Antares Miércoles","Sede Antares","11"
"Charla Cartago","Charla Cartago Miércoles","Sede Cartago","11"
"Cartago Youth","Charla Cartago Youth","Sede Cartago Youth","5"
"Charla Guápiles","Charla Guápiles Miércoles","Sede Guápiles","9"
"Charla Liberia","Charla Liberia Miércoles","Sede Liberia","11"
"Charla Madrid","Charla Madrid Domingo","Sede Madrid","9"
"Charla Madrid Home","Charla Madrid Home Jueves","Sede Madrid Home","5"
"Charla Meridiano","Charla Meridiano Martes","Sede Meridiano Martes","11"
"Charla Meridiano Mié","Charla Meridiano Miércoles","Sede Meridiano Miércoles","8"
"United Youth","Charla Pedregal Domingo Youth","Sede Pedregal Domingo Youth","12"
"Charla United","Charla Pedregal Domingo","Sede Pedregal Domingos","12"
"Charla Pedregal Jueves","Charla Pedregal Jueves","Sede Pedregal Jueves","11"
"Charla Heredia","Charla Pedregal Miércoles","Sede Pedregal Miércoles","11"
"Heredia Youth","Charla Pedregal Miércoles Youth","Sede Pedregal Miércoles Youth","11"
"Charla Pérez Zeledón","Charla Pérez Zeledón Miércoles","Sede Pérez Zeledón","11"
"Charla Potrero","Charla Potrero Jueves","Sede Potrero","11"
